# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     389     0.00000     0.00000     0.00000    0.444821091   -0.155210312   -0.600031403
     1     389     0.00000     0.00000     0.03517    0.440957910   -0.159544127   -0.600502037
     1     389     0.00000     0.00000    -0.03517    0.440957910   -0.159544127   -0.600502037
     1     389     0.00000     0.00000     0.07034    0.439224773   -0.310465714   -0.749690487
     1     389     0.00000     0.04223     0.00000    0.451537467   -0.144522546   -0.596060012
     1     389     0.00000     0.04223     0.03517    0.447820705   -0.145211951   -0.593032656
     1     389     0.00000     0.04223    -0.03517    0.447820705   -0.151682627   -0.599503332
     1     389     0.00000     0.04223     0.07034    0.445427643   -0.153376496   -0.598804139
     1     389     0.00000     0.08445     0.00000    0.468795100   -0.267476350   -0.736271449
     1     389     0.00000     0.08445     0.03517    0.468897558   -0.266652730   -0.735550287
     1     389     0.00000     0.08445    -0.03517    0.468897558   -0.266783986   -0.735681544
     1     389     0.00000     0.08445     0.07034    0.466434876   -0.120279078   -0.586713954
     1     389     0.00000     0.12668     0.00000    0.490206092   -0.245395238   -0.735601330
     1     389     0.00000     0.12668     0.03517    0.490272185   -0.243726620   -0.733998805
     1     389     0.00000     0.12668    -0.03517    0.490272185   -0.244036689   -0.734308874
     1     389     0.00000     0.12668     0.07034    0.490314973   -0.240277929   -0.730592902
     1     389     0.00000     0.16890     0.00000    0.521398241   -0.196492568   -0.717890809
     1     389     0.00000     0.16890     0.03517    0.521291559   -0.189594410   -0.710885970
     1     389     0.00000     0.16890    -0.03517    0.521291559   -0.200491928   -0.721783487
     1     389     0.00000     0.16890     0.07034    0.521214072   -0.192588314   -0.713802386
     1     389     0.00000     0.21113     0.00000    0.556964765   -0.153401307   -0.710366072
     1     389     0.00000     0.21113     0.03517    0.556456203   -0.151840679   -0.708296882
     1     389     0.00000     0.21113    -0.03517    0.556456203   -0.151840544   -0.708296747
     1     389     0.00000     0.21113     0.07034    0.555997623   -0.147791313   -0.703788936
     1     389     0.00000    -0.16890     0.00000    0.521398241   -0.196501058   -0.717899299
     1     389     0.00000    -0.16890     0.03517    0.521291324   -0.200509894   -0.721801218
     1     389     0.00000    -0.16890    -0.03517    0.521291324   -0.189597439   -0.710888763
     1     389     0.00000    -0.16890     0.07034    0.521214072   -0.192608223   -0.713822295
     1     389     0.00000    -0.12668     0.00000    0.490206092   -0.245416112   -0.735622204
     1     389     0.00000    -0.12668     0.03517    0.490271856   -0.244064305   -0.734336161
     1     389     0.00000    -0.12668    -0.03517    0.490271856   -0.243753910   -0.734025766
     1     389     0.00000    -0.12668     0.07034    0.490314973   -0.240320279   -0.730635252
     1     389     0.00000    -0.08445     0.00000    0.468795100   -0.267498472   -0.736293571
     1     389     0.00000    -0.08445     0.03517    0.468897291   -0.266810663   -0.735707954
     1     389     0.00000    -0.08445    -0.03517    0.468897291   -0.266679707   -0.735576998
     1     389     0.00000    -0.08445     0.07034    0.466434876   -0.119897378   -0.586332254
     1     389     0.00000    -0.04223     0.00000    0.451537467   -0.144399823   -0.595937289
     1     389     0.00000    -0.04223     0.03517    0.447820683   -0.151644883   -0.599465566
     1     389     0.00000    -0.04223    -0.03517    0.447820683   -0.145002980   -0.592823663
     1     389     0.00000    -0.04223     0.07034    0.445427643   -0.153221173   -0.598648816
     1     389     0.04128     0.00000     0.00041    0.457028745   -0.288734097   -0.745762843
     1     389    -0.04128     0.00000    -0.00041    0.457028745   -0.288734095   -0.745762841
     1     389     0.04128     0.00000     0.03558    0.456126459   -0.285130039   -0.741256497
     1     389    -0.04128     0.00000    -0.03558    0.456126459   -0.285130037   -0.741256496
     1     389     0.04128     0.00000    -0.06993    0.453475038   -0.153094832   -0.606569870
     1     389    -0.04128     0.00000     0.06993    0.453475038   -0.153094832   -0.606569870
     1     389     0.04128     0.00000    -0.03476    0.455470393   -0.150443439   -0.605913832
     1     389    -0.04128     0.00000     0.03476    0.455470393   -0.150479504   -0.605949897
     1     389     0.04128     0.04223     0.00041    0.463750516   -0.269470478   -0.733220994
     1     389    -0.04128     0.04223    -0.00041    0.463750516   -0.262813349   -0.726563865
     1     389     0.04128     0.04223     0.03558    0.463761917   -0.269898272   -0.733660189
     1     389    -0.04128     0.04223    -0.03558    0.463761917   -0.276052799   -0.739814716
     1     389     0.04128     0.04223    -0.06993    0.461092728   -0.149945417   -0.611038145
     1     389    -0.04128     0.04223     0.06993    0.461092728   -0.138201091   -0.599293819
     1     389     0.04128     0.04223    -0.03476    0.463101854   -0.146647005   -0.609748859
